Method,GBM-BreastCancer,RF-BreastCancer,SVM-Wine
DE-BO (DA-EI),0.9745287998757958,0.9652367644775655,0.9331746031746032
GA-BO (DA-EI),0.9755798789007917,0.9647073435801893,0.9331746031746032
GA-BO (EI),0.9762862909486104,0.9645334575376495,0.9331746031746032
Random,0.9736547120012421,0.9648889923924857,0.87084126984127
Standard-BO,0.9752321068157119,0.9650613258810743,0.9331746031746032
